day,time,tidal_range
22-Oct-20,2:59:59,0.1112
22-Oct-20,3:59:59,0.2486
22-Oct-20,4:59:59,0.3256
22-Oct-20,5:59:59,0.3229
22-Oct-20,6:59:59,0.2421
22-Oct-20,7:59:59,0.1062
22-Oct-20,8:59:59,-0.0478
22-Oct-20,9:59:59,-0.1807
22-Oct-20,10:59:59,-0.2623
22-Oct-20,11:59:59,-0.2776
22-Oct-20,12:59:59,-0.227
22-Oct-20,13:59:59,-0.1248
22-Oct-20,14:59:59,0.0046
22-Oct-20,15:59:59,0.13
22-Oct-20,16:59:59,0.2195
22-Oct-20,17:59:59,0.2488
22-Oct-20,18:59:59,0.2095
22-Oct-20,19:59:59,0.1125
22-Oct-20,20:59:59,-0.0149
22-Oct-20,21:59:59,-0.1388
22-Oct-20,22:59:59,-0.2287
